116585,"Sustainable Enterprise Development, B.Sc.",https://www.bachelorsportal.com/studies/116585/sustainable-enterprise-development.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fju.se%2Fen%2Fstudy-at-ju%2Four-programmes%2Fundergraduate-programmes%2Fsustainable-enterprise-development.html,Sweden,Jönköping,Jönköping University,0,/ year,3 Years,On campus,23,Business & Management
19347,"Bachelor of Business Administration - International Business, B.B.A.",https://www.bachelorsportal.com/studies/19347/bachelor-of-business-administration-international-business.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fportal.savonia.fi%2Famk%2Fen%2Fapplying%2Fbachelors-degree-programmes%2Fbachelor-business-administration,Finland,Kuopio,Savonia University of Applied Sciences,0,/ year,"3 Years, 6 months",On campus,23,Business & Management
20805,"International Management, B.Sc.",https://www.bachelorsportal.com/studies/20805/international-management.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fju.se%2Fen%2Fstudy-at-ju%2Four-programmes%2Fundergraduate-programmes%2Finternational-management.html,Sweden,Jönköping,Jönköping University,0,/ year,3 Years,On campus,23,Business & Management
19742,"Degree Programme in International Business, B.B.A.",https://www.bachelorsportal.com/studies/19742/degree-programme-in-international-business.html,https://www.bachelorsportal.com/search/#q=di-241|lv-preparation,Finland,Oulu,Oulu University of Applied Sciences,0,/ year,"3 Years, 6 months",On campus,23,Business & Management
46055,"Marketing Management, Academy Profession",https://www.bachelorsportal.com/studies/46055/marketing-management.html,"https://www.bachelorsportal.com/search/#q=di-88,89|lv-preparation",Denmark,Roskilde,Zealand Institute of Business & Technology,0,/ year,2 Years,On campus,23,Business & Management
36051,"Export & Technology Management, B.A.",https://www.bachelorsportal.com/studies/36051/export-technology-management.html,"https://www.bachelorsportal.com/search/#q=di-133,235|lv-preparation",Denmark,Aalborg,University College of Northern Denmark,0,/ year,"3 Years, 6 months",On campus,23,Business & Management
16994,"International Management, B.A.",https://www.bachelorsportal.com/studies/16994/international-management.html,"https://www.bachelorsportal.com/search/#q=di-89,241|lv-preparation",Germany,Deggendorf,Deggendorf Institute of Technology,0,/ year,"3 Years, 6 months",On campus,23,Business & Management
27761,"International Sales and Marketing Management, B.B.A.",https://www.bachelorsportal.com/studies/27761/international-sales-and-marketing-management.html,"https://www.bachelorsportal.com/search/#q=di-88,89|lv-preparation",Denmark,Aalborg,University College of Northern Denmark,0,/ year,"1 year, 6 months",On campus,23,Business & Management
155337,"International Business, B.Sc.",https://www.bachelorsportal.com/studies/155337/international-business.html,"https://www.bachelorsportal.com/search/#q=di-45,241|lv-preparation",Sweden,Lund,Lund University,0,/ year,3 Years,On campus,23,Business & Management
21896,"Value Chain Management, Bachelor",https://www.bachelorsportal.com/studies/21896/value-chain-management.html,https://www.bachelorsportal.com/search/#q=di-133|lv-preparation,Denmark  Denmark,Horsens,VIA University College,0,/ year,"3 Years, 6 months",On campus,23,Business & Management
